YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
1982,FEB,2.99,24.57,14.09,86.99,8.77,riego
1983,FEB,0.09,28.61,14.86,83.62,4.33,riego
1984,FEB,1.01,26.75,13.49,85.46,3.74,fertilizacion
1985,FEB,0.41,24.81,13.8,82.98,5.19,fertilizacion
1986,FEB,0.39,26.47,11.92,80.24,6.64,riego
1987,FEB,1.15,25.99,15.17,86.85,6.9,riego
1988,FEB,0.84,28.06,15.32,83.86,3.9,riego
1989,FEB,0.61,27.01,14.76,80.83,3.21,riego
1990,FEB,0.87,26.75,14.64,81.13,4.6,fertilizacion
1991,FEB,1.34,26.19,14.35,83.82,6.77,riego
1992,FEB,0.99,29.24,14.02,80.26,6.0,riego
1993,FEB,0.21,28.41,14.69,76.91,5.96,riego
1994,FEB,0.29,27.89,14.72,78.9,6.33,riego
1995,FEB,0.4,28.01,13.79,78.11,8.33,riego
1996,FEB,1.52,26.71,13.42,83.18,7.97,riego
1997,FEB,1.32,26.41,15.13,83.97,5.29,fertilizacion
1998,FEB,0.31,29.92,15.61,80.73,6.59,riego
1999,FEB,4.38,23.93,14.38,88.82,3.87,fertilizacion
2000,FEB,2.93,23.37,14.62,89.06,8.43,riego
2001,FEB,2.15,24.28,14.77,85.69,5.74,fertilizacion
2002,FEB,1.38,25.09,15.03,85.92,6.75,riego
2003,FEB,2.04,25.62,14.67,87.26,8.32,poda_preventiva
2004,FEB,2.23,27.08,14.25,85.99,5.97,riego
2005,FEB,4.2,25.95,13.7,88.51,5.93,fertilizacion
2006,FEB,2.45,24.7,14.61,87.91,8.9,poda_preventiva
2007,FEB,0.15,25.84,14.22,83.94,5.13,fertilizacion
2008,FEB,2.04,24.48,13.61,87.96,5.97,fertilizacion
2009,FEB,3.86,24.27,14.31,87.89,5.63,fertilizacion
2010,FEB,2.3,26.46,15.19,87.4,6.68,poda_preventiva
2011,FEB,4.36,24.9,15.17,88.61,4.16,fertilizacion
2012,FEB,1.38,24.16,13.92,86.77,7.13,riego
2013,FEB,2.19,26.18,14.85,85.65,7.69,riego
2014,FEB,1.82,26.07,14.15,86.58,5.08,fertilizacion
2015,FEB,3.84,24.87,15.11,89.37,6.56,poda_preventiva
2016,FEB,4.16,26.51,15.34,88.27,7.13,poda_preventiva
2017,FEB,1.51,26.02,14.86,87.23,5.0,fertilizacion
2018,FEB,3.35,23.58,14.58,89.28,7.81,riego
2019,FEB,1.52,28.68,14.89,80.66,3.75,riego
2020,FEB,2.55,25.54,13.96,89.05,5.44,fertilizacion
2021,FEB,1.53,25.43,15.41,87.9,4.72,fertilizacion
2022,FEB,1.65,24.92,12.54,84.07,3.25,fertilizacion
2023,FEB,3.12,25.5,13.53,88.15,7.46,poda_preventiva
2024,FEB,4.05,26.77,13.93,87.47,3.56,fertilizacion
1981,MAR,1.72,27.35,12.66,85.61,4.88,riego
1982,MAR,1.35,26.71,13.69,82.57,8.03,riego
1983,MAR,0.93,30.75,15.2,79.12,5.74,riego
1984,MAR,0.6,29.1,14.07,79.35,5.84,riego
1985,MAR,0.5,29.14,14.28,78.17,8.46,riego
1986,MAR,0.57,28.38,12.49,78.66,7.76,riego
1987,MAR,0.68,31.03,12.08,79.61,5.82,riego
1988,MAR,0.74,28.2,14.63,79.33,5.28,riego
1989,MAR,0.34,28.33,13.31,75.96,5.79,riego
1990,MAR,0.85,28.77,12.49,79.43,6.8,riego
1991,MAR,0.17,28.83,14.14,77.38,7.02,riego
1992,MAR,0.41,29.95,13.79,75.76,4.84,riego
1993,MAR,0.76,29.17,12.18,77.57,6.56,riego
1994,MAR,0.17,28.92,13.4,73.32,5.14,riego
1995,MAR,0.67,29.32,13.42,76.16,8.64,riego
1996,MAR,0.19,30.36,13.53,76.59,8.13,riego
1997,MAR,0.48,28.85,14.13,76.72,6.32,riego
1998,MAR,0.16,31.29,15.82,75.73,4.87,riego
1999,MAR,1.37,25.86,13.65,85.19,7.71,riego
2000,MAR,0.77,26.65,14.94,84.8,8.48,riego
2001,MAR,1.26,29.46,13.49,80.74,3.34,riego
2002,MAR,1.77,27.28,15.03,83.25,7.97,riego
2003,MAR,1.4,29.82,14.33,81.22,6.3,riego
2004,MAR,3.62,26.29,16.35,85.7,7.66,riego
2005,MAR,1.63,26.42,14.77,85.4,4.45,fertilizacion
2006,MAR,4.8,25.6,14.48,86.93,3.19,fertilizacion
2007,MAR,1.91,27.7,15.36,82.31,6.53,riego
2008,MAR,1.14,25.43,14.49,83.96,5.6,fertilizacion
2009,MAR,5.41,26.19,13.92,86.62,6.45,riego
2010,MAR,2.89,28.47,14.71,83.92,8.1,riego
2011,MAR,0.39,27.51,13.7,83.23,8.91,riego
2012,MAR,2.46,26.94,13.67,84.72,3.34,fertilizacion
2013,MAR,3.82,29.11,14.9,84.4,5.15,riego
2014,MAR,1.16,27.14,14.74,80.87,4.83,riego
2015,MAR,2.56,26.38,14.65,86.31,5.56,fertilizacion
2016,MAR,1.02,30.08,15.79,81.08,5.7,riego
2017,MAR,3.13,28.1,14.64,84.18,5.09,riego
2018,MAR,3.29,26.57,13.65,87.15,5.91,fertilizacion
2019,MAR,4.71,27.81,15.39,83.69,8.93,riego
2020,MAR,0.82,27.16,15.73,83.52,4.46,riego
2021,MAR,5.2,26.89,13.38,85.54,7.8,riego
2022,MAR,7.19,27.35,14.26,84.93,6.01,riego
2023,MAR,4.89,26.88,15.29,87.55,5.51,fertilizacion
2024,MAR,2.08,30.59,14.21,81.79,6.78,riego
1981,APR,6.02,26.39,16.23,87.67,5.49,fertilizacion
1982,APR,3.71,27.46,14.33,82.51,8.9,riego
1983,APR,3.76,31.09,15.01,76.23,5.02,riego
1984,APR,2.72,29.38,13.6,76.8,6.99,riego
1985,APR,0.84,29.95,14.87,76.09,7.1,riego
1986,APR,0.46,29.79,16.23,78.53,5.6,riego
1987,APR,4.52,27.01,14.74,85.93,5.7,riego
1988,APR,1.74,29.86,15.43,76.99,3.99,riego
1989,APR,0.39,29.23,15.21,76.22,7.6,riego
1990,APR,0.92,29.64,13.27,76.69,3.21,riego
1991,APR,0.82,31.26,14.6,76.22,5.66,riego
1992,APR,0.98,31.69,15.43,76.98,4.27,riego
1993,APR,1.58,30.75,15.86,76.62,8.27,riego
1994,APR,1.09,29.67,15.02,76.41,6.96,riego
1995,APR,2.33,31.39,16.09,79.88,3.84,riego
1996,APR,0.47,29.45,15.04,76.16,3.0,riego
1997,APR,1.93,29.36,14.48,75.38,5.78,riego
1998,APR,0.84,31.78,16.09,76.46,5.33,riego
1999,APR,5.68,26.91,13.81,84.72,6.13,riego
2000,APR,2.86,26.48,14.8,84.77,3.69,fertilizacion
2001,APR,2.88,28.02,15.64,83.34,5.29,riego
2002,APR,2.4,26.55,14.4,81.56,5.02,fertilizacion
2003,APR,2.91,29.24,14.76,80.76,3.32,riego
2004,APR,1.85,29.51,15.61,81.37,4.41,riego
2005,APR,6.8,27.34,14.39,85.99,5.33,riego
2006,APR,2.2,27.34,14.59,83.7,6.15,riego
2007,APR,4.22,28.98,14.69,83.51,3.72,riego
2008,APR,4.99,26.57,14.34,84.5,8.61,riego
2009,APR,1.6,27.03,15.26,81.9,7.52,riego
2010,APR,3.74,29.68,14.84,82.68,6.52,riego
2011,APR,1.53,28.87,14.01,79.61,7.84,riego
2012,APR,3.57,27.59,14.21,83.37,7.64,riego
2013,APR,4.26,27.93,15.47,84.37,3.15,riego
2014,APR,6.46,29.0,15.57,85.09,3.44,riego
2015,APR,3.86,28.75,15.02,85.46,6.75,riego
2016,APR,3.07,29.72,15.6,80.55,7.22,riego
2017,APR,5.19,28.42,15.5,85.89,5.82,riego
2018,APR,4.88,26.71,14.37,87.2,3.93,fertilizacion
2019,APR,4.75,29.62,16.25,82.1,7.84,riego
2020,APR,6.57,28.54,15.52,83.35,3.69,riego
2021,APR,9.74,26.94,15.34,88.86,6.55,poda_preventiva
2022,APR,8.26,27.35,15.8,87.36,3.21,fertilizacion
2023,APR,3.41,29.09,14.76,83.38,7.25,riego
2024,APR,5.72,29.97,14.95,83.24,8.4,riego
1981,MAY,6.66,27.09,15.97,88.01,3.08,riego
1982,MAY,8.9,27.8,15.17,85.71,4.23,fertilizacion
1983,MAY,3.01,28.2,15.63,84.75,6.82,riego
1984,MAY,4.78,28.3,15.48,82.92,5.12,riego
1985,MAY,2.21,29.84,14.49,79.52,5.58,riego
1986,MAY,4.46,30.47,15.96,82.71,5.18,riego
1987,MAY,4.08,27.66,16.69,86.4,8.92,riego
1988,MAY,3.24,29.42,16.06,81.95,7.92,riego
1989,MAY,2.04,29.11,16.76,81.08,5.82,riego
1990,MAY,3.56,28.45,17.13,84.17,5.68,riego
1991,MAY,5.23,27.23,15.83,88.18,7.13,riego
1992,MAY,3.35,28.72,15.18,82.94,3.64,riego
1993,MAY,7.73,28.8,17.4,87.83,8.56,riego
1994,MAY,1.06,30.09,16.15,81.22,8.39,riego
1995,MAY,5.41,28.52,16.52,85.78,4.66,riego
1996,MAY,4.59,28.91,17.32,84.64,4.96,riego
1997,MAY,6.5,28.18,15.83,86.87,6.2,riego
1998,MAY,6.4,31.12,16.67,82.45,3.62,riego
1999,MAY,7.6,25.79,16.3,89.5,8.75,poda_preventiva
2000,MAY,6.55,27.32,16.69,87.78,8.17,riego
2001,MAY,5.01,28.91,16.32,84.17,7.76,riego
2002,MAY,10.41,26.36,16.32,90.59,8.71,poda_preventiva
2003,MAY,9.11,28.47,15.88,90.46,7.73,poda_preventiva
2004,MAY,7.3,26.81,17.47,89.81,5.93,fertilizacion
2005,MAY,5.66,27.64,16.94,89.55,8.07,riego
2006,MAY,7.55,27.18,15.14,88.69,6.27,riego
2007,MAY,8.73,27.16,17.21,90.24,3.51,fertilizacion
2008,MAY,6.59,27.67,15.44,87.18,7.95,riego
2009,MAY,5.08,28.07,16.78,85.64,3.04,riego
2010,MAY,7.44,26.94,17.57,90.07,8.53,poda_preventiva
2011,MAY,3.14,29.62,15.82,80.84,6.89,riego
2012,MAY,4.26,27.95,16.58,86.78,7.43,riego
2013,MAY,7.04,28.31,12.33,87.17,7.25,riego
2014,MAY,5.62,27.37,15.67,86.87,4.23,riego
2015,MAY,8.18,26.83,14.52,89.03,3.58,fertilizacion
2016,MAY,5.46,29.78,16.06,85.09,8.18,riego
2017,MAY,18.42,27.08,17.31,92.91,6.01,poda_preventiva
2018,MAY,10.26,27.24,15.34,88.69,5.75,fertilizacion
2019,MAY,13.5,27.74,17.6,91.47,7.52,poda_preventiva
2020,MAY,7.76,28.0,17.21,88.7,7.55,riego
2021,MAY,10.32,27.07,15.95,91.07,6.31,poda_preventiva
2022,MAY,8.59,27.06,16.22,90.6,3.33,fertilizacion
2023,MAY,7.45,28.39,16.99,85.51,6.31,riego
2024,MAY,25.32,29.0,16.76,87.56,3.18,fertilizacion
1981,JUN,11.86,25.68,14.92,92.33,6.5,poda_preventiva
1982,JUN,2.92,26.94,15.44,89.27,8.58,poda_preventiva
1983,JUN,4.61,27.26,16.1,86.92,4.33,riego
1984,JUN,5.78,25.76,14.3,89.41,8.1,poda_preventiva
1985,JUN,8.02,26.37,14.86,88.62,8.39,poda_preventiva
1986,JUN,7.97,27.03,15.84,88.53,6.31,riego
1987,JUN,4.69,27.39,14.44,86.2,5.64,riego
1988,JUN,2.68,28.24,15.51,85.12,4.92,riego
1989,JUN,5.37,26.96,15.64,87.02,7.45,poda_preventiva
1990,JUN,4.52,27.56,16.39,88.01,5.86,riego
1991,JUN,4.24,26.46,15.16,88.58,7.36,poda_preventiva
1992,JUN,2.64,29.1,16.89,85.38,3.9,riego
1993,JUN,4.33,25.4,16.97,91.36,3.11,fertilizacion
1994,JUN,2.47,28.2,16.61,84.71,6.92,riego
1995,JUN,5.88,26.85,16.6,90.85,4.18,fertilizacion
1996,JUN,2.63,26.49,16.17,89.15,3.36,fertilizacion
1997,JUN,7.97,27.73,14.7,91.84,5.85,riego
1998,JUN,7.36,26.66,17.6,90.92,8.46,poda_preventiva
1999,JUN,8.87,25.41,15.44,92.3,5.42,fertilizacion
2000,JUN,8.58,25.61,14.7,91.93,7.44,poda_preventiva
2001,JUN,6.98,25.32,16.61,90.79,5.51,fertilizacion
2002,JUN,6.79,25.81,17.28,91.63,5.8,fertilizacion
2003,JUN,4.18,25.66,16.44,92.13,4.96,fertilizacion
2004,JUN,4.17,26.38,16.03,90.95,3.47,fertilizacion
2005,JUN,8.27,26.92,17.39,93.36,7.55,poda_preventiva
2006,JUN,5.77,25.77,16.38,91.76,5.93,fertilizacion
2007,JUN,5.55,26.33,16.56,91.15,4.97,fertilizacion
2008,JUN,8.77,25.94,17.16,92.23,7.9,poda_preventiva
2009,JUN,7.0,26.11,16.94,91.34,7.08,poda_preventiva
2010,JUN,6.11,26.93,15.91,89.9,3.78,fertilizacion
2011,JUN,7.75,27.72,17.29,88.15,3.52,riego
2012,JUN,5.23,26.95,16.02,89.09,4.22,fertilizacion
2013,JUN,9.76,25.77,16.19,92.33,4.53,fertilizacion
2014,JUN,8.17,26.5,15.62,91.54,4.61,fertilizacion
2015,JUN,8.96,27.05,17.81,92.44,6.93,poda_preventiva
2016,JUN,10.77,26.79,16.08,91.43,5.49,fertilizacion
2017,JUN,10.88,26.24,16.89,92.31,7.93,poda_preventiva
2018,JUN,11.86,26.22,14.39,92.7,8.33,poda_preventiva
2019,JUN,8.53,26.28,16.99,91.58,4.19,fertilizacion
2020,JUN,13.64,26.39,15.56,91.46,4.72,fertilizacion
2021,JUN,9.86,25.98,15.07,90.93,3.76,fertilizacion
2022,JUN,15.96,26.71,15.3,92.94,8.63,poda_preventiva
2023,JUN,9.71,27.36,15.81,90.52,7.96,poda_preventiva
2024,JUN,25.62,26.71,17.71,92.91,4.74,fertilizacion
1981,JUL,3.34,25.1,15.16,90.36,6.27,poda_preventiva
1982,JUL,8.43,24.56,14.31,91.26,5.95,fertilizacion
1983,JUL,5.27,26.33,15.55,89.27,5.21,fertilizacion
1984,JUL,4.8,24.92,14.05,90.08,5.8,fertilizacion
1985,JUL,5.41,24.49,14.08,89.75,5.77,fertilizacion
1986,JUL,4.69,24.77,14.82,90.71,4.57,fertilizacion
1987,JUL,3.87,25.32,15.09,89.92,7.61,poda_preventiva
1988,JUL,3.06,27.0,14.92,87.74,3.89,fertilizacion
1989,JUL,3.02,25.95,14.62,88.58,7.26,poda_preventiva
1990,JUL,2.94,26.24,15.03,88.35,3.73,fertilizacion
1991,JUL,4.14,25.53,14.23,89.39,8.36,poda_preventiva
1992,JUL,5.97,25.51,14.9,90.91,8.27,poda_preventiva
1993,JUL,2.53,25.17,16.37,89.99,8.2,poda_preventiva
1994,JUL,3.58,25.62,16.69,88.31,7.3,poda_preventiva
1995,JUL,3.18,26.19,14.82,89.11,7.93,poda_preventiva
1996,JUL,2.41,26.22,15.79,88.12,4.86,fertilizacion
1997,JUL,4.26,25.12,17.22,91.22,6.55,poda_preventiva
1998,JUL,10.44,25.86,16.24,92.14,7.59,poda_preventiva
1999,JUL,5.75,24.82,15.13,92.07,6.28,poda_preventiva
2000,JUL,6.59,24.54,16.19,91.56,6.73,poda_preventiva
2001,JUL,4.54,25.52,14.54,90.21,3.19,fertilizacion
2002,JUL,11.45,24.68,16.39,93.83,7.78,poda_preventiva
2003,JUL,4.6,25.64,15.89,91.47,3.3,fertilizacion
2004,JUL,4.75,25.33,15.22,90.82,4.89,fertilizacion
2005,JUL,6.63,26.88,16.8,91.62,6.86,poda_preventiva
2006,JUL,9.33,25.5,15.29,93.01,6.1,poda_preventiva
2007,JUL,6.32,25.17,15.52,91.38,7.68,poda_preventiva
2008,JUL,7.49,24.83,15.88,92.58,7.69,poda_preventiva
2009,JUL,8.48,26.18,16.89,91.29,4.02,fertilizacion
2010,JUL,6.74,26.08,15.88,90.1,6.74,poda_preventiva
2011,JUL,7.13,25.88,14.98,90.92,7.79,poda_preventiva
2012,JUL,11.76,25.4,15.07,91.86,7.84,poda_preventiva
2013,JUL,4.97,24.95,15.37,92.14,3.8,fertilizacion
2014,JUL,13.46,25.46,17.23,93.13,7.75,poda_preventiva
2015,JUL,7.93,25.82,16.75,92.27,7.93,poda_preventiva
2016,JUL,8.31,25.2,16.15,90.84,4.39,fertilizacion
2017,JUL,9.28,25.32,16.6,92.54,4.33,fertilizacion
2018,JUL,16.5,25.53,16.22,93.03,6.79,poda_preventiva
2019,JUL,6.26,26.21,16.24,91.08,5.96,fertilizacion
2020,JUL,6.98,25.75,14.07,90.94,3.59,fertilizacion
2021,JUL,9.89,25.91,16.23,91.44,5.75,fertilizacion
2022,JUL,7.43,25.66,16.29,92.15,5.73,fertilizacion
2023,JUL,9.46,26.35,16.89,91.8,8.27,poda_preventiva
2024,JUL,17.4,26.2,16.85,93.1,6.25,poda_preventiva
1981,AUG,9.65,26.52,15.54,90.62,3.24,fertilizacion
1982,AUG,4.88,25.21,14.83,90.88,4.46,fertilizacion
1983,AUG,5.66,25.36,14.75,89.29,3.18,fertilizacion
1984,AUG,6.55,24.96,15.13,90.38,4.15,fertilizacion
1985,AUG,4.31,25.31,13.08,89.88,7.62,poda_preventiva
1986,AUG,8.08,25.3,15.09,89.85,6.56,poda_preventiva
1987,AUG,4.87,25.17,15.35,90.2,5.52,fertilizacion
1988,AUG,5.21,25.48,15.46,90.26,5.12,fertilizacion
1989,AUG,3.94,26.12,15.52,86.55,5.44,fertilizacion
1990,AUG,5.63,25.57,14.74,89.01,5.3,fertilizacion
1991,AUG,2.08,25.73,14.69,88.0,7.17,poda_preventiva
1992,AUG,3.73,25.33,16.22,90.21,5.98,fertilizacion
1993,AUG,3.93,25.05,16.55,90.82,8.73,poda_preventiva
1994,AUG,2.74,26.19,15.83,87.58,3.78,fertilizacion
1995,AUG,7.18,26.07,16.95,92.17,7.79,poda_preventiva
1996,AUG,2.39,27.41,14.9,85.65,4.42,riego
1997,AUG,5.94,26.64,16.45,90.61,8.69,poda_preventiva
1998,AUG,8.91,25.06,15.31,92.95,8.67,poda_preventiva
1999,AUG,10.64,25.65,15.18,92.19,4.77,fertilizacion
2000,AUG,7.03,24.41,15.24,92.24,7.42,poda_preventiva
2001,AUG,5.29,26.32,16.6,92.12,3.69,fertilizacion
2002,AUG,9.38,25.03,14.9,92.77,3.2,fertilizacion
2003,AUG,3.74,25.74,15.99,91.02,4.38,fertilizacion
2004,AUG,4.38,26.04,17.04,90.78,7.44,poda_preventiva
2005,AUG,6.94,25.4,16.56,92.32,6.91,poda_preventiva
2006,AUG,4.84,25.5,16.53,91.07,3.97,fertilizacion
2007,AUG,5.91,25.44,16.23,91.31,8.85,poda_preventiva
2008,AUG,9.86,25.46,16.77,91.62,8.44,poda_preventiva
2009,AUG,6.21,26.12,15.96,90.92,3.3,fertilizacion
2010,AUG,5.96,26.51,17.07,91.94,6.57,poda_preventiva
2011,AUG,6.76,26.51,16.32,88.92,8.71,poda_preventiva
2012,AUG,7.59,26.68,14.59,89.87,7.87,poda_preventiva
2013,AUG,4.03,25.94,15.15,90.42,5.67,fertilizacion
2014,AUG,9.71,26.07,15.34,91.03,3.9,fertilizacion
2015,AUG,5.4,26.46,16.18,90.63,5.22,fertilizacion
2016,AUG,8.44,26.33,16.73,90.94,4.47,fertilizacion
2017,AUG,8.28,26.81,15.61,90.62,8.34,poda_preventiva
2018,AUG,9.19,25.81,16.04,91.73,4.9,fertilizacion
2019,AUG,8.3,26.22,16.71,91.24,6.22,poda_preventiva
2020,AUG,7.83,27.24,14.97,90.98,8.9,riego
2021,AUG,12.41,25.09,15.62,91.23,5.25,fertilizacion
2022,AUG,6.15,26.22,15.27,89.93,5.3,fertilizacion
2023,AUG,7.49,27.28,17.24,90.84,3.04,riego
2024,AUG,6.5,26.39,17.28,90.32,6.41,poda_preventiva
1981,SEP,9.03,25.94,14.75,90.73,4.89,fertilizacion
1982,SEP,5.84,25.27,15.9,91.05,3.66,fertilizacion
1983,SEP,5.07,26.0,13.83,88.14,3.99,fertilizacion
1984,SEP,5.83,25.23,15.22,91.43,4.55,fertilizacion
1985,SEP,4.36,26.07,14.88,88.23,3.44,fertilizacion
1986,SEP,5.73,25.91,14.82,90.76,7.1,poda_preventiva
1987,SEP,3.26,26.64,14.19,88.33,5.17,fertilizacion
1988,SEP,6.42,25.62,15.45,91.65,4.23,fertilizacion
1989,SEP,5.07,25.63,14.44,89.96,8.4,poda_preventiva
1990,SEP,3.53,26.07,15.8,88.74,6.76,poda_preventiva
1991,SEP,3.09,25.96,16.4,88.19,4.1,fertilizacion
1992,SEP,3.11,25.82,15.44,89.78,4.47,fertilizacion
1993,SEP,7.12,25.14,16.12,91.33,3.64,fertilizacion
1994,SEP,2.9,26.77,15.83,87.69,7.97,poda_preventiva
1995,SEP,4.58,25.04,16.18,92.56,8.59,poda_preventiva
1996,SEP,2.65,27.19,15.37,87.45,5.17,riego
1997,SEP,7.64,26.0,15.56,91.32,4.26,fertilizacion
1998,SEP,5.68,26.21,16.23,91.57,6.52,poda_preventiva
1999,SEP,9.09,24.54,16.66,93.52,8.14,poda_preventiva
2000,SEP,6.36,25.17,16.22,92.26,8.63,poda_preventiva
2001,SEP,5.2,25.44,16.23,91.4,4.42,fertilizacion
2002,SEP,5.69,25.06,15.62,91.74,5.95,fertilizacion
2003,SEP,2.97,26.16,15.12,89.79,7.08,poda_preventiva
2004,SEP,6.92,26.25,15.37,89.9,4.35,fertilizacion
2005,SEP,10.28,25.93,16.37,93.82,5.08,fertilizacion
2006,SEP,5.23,26.49,15.85,89.84,8.44,poda_preventiva
2007,SEP,5.81,25.92,16.02,91.33,7.5,poda_preventiva
2008,SEP,6.95,26.58,14.85,90.43,3.48,fertilizacion
2009,SEP,3.67,27.01,16.35,88.78,6.89,riego
2010,SEP,14.47,25.03,16.93,91.87,8.16,poda_preventiva
2011,SEP,5.7,25.56,16.0,90.33,4.77,fertilizacion
2012,SEP,6.5,26.22,15.31,89.93,7.08,poda_preventiva
2013,SEP,8.01,26.11,16.45,90.77,8.17,poda_preventiva
2014,SEP,10.68,25.26,15.44,91.19,5.28,fertilizacion
2015,SEP,9.05,26.37,15.8,92.01,6.3,poda_preventiva
2016,SEP,6.56,25.96,15.9,90.57,4.29,fertilizacion
2017,SEP,12.79,26.56,15.57,92.67,5.17,fertilizacion
2018,SEP,8.78,26.05,16.66,90.55,5.47,fertilizacion
2019,SEP,9.8,26.44,14.89,91.37,5.15,fertilizacion
2020,SEP,8.88,26.1,14.82,89.58,6.92,poda_preventiva
2021,SEP,7.95,26.4,16.71,90.36,8.95,poda_preventiva
2022,SEP,10.84,26.33,16.89,91.01,6.46,poda_preventiva
2023,SEP,5.91,26.95,15.9,88.68,4.9,fertilizacion
2024,SEP,13.11,27.05,17.87,91.03,7.94,poda_preventiva
1981,OCT,6.43,25.27,13.65,91.51,4.47,fertilizacion
1982,OCT,6.6,24.2,13.64,92.28,4.87,fertilizacion
1983,OCT,7.47,25.0,13.35,91.47,5.0,fertilizacion
1984,OCT,5.3,25.1,14.87,92.04,6.8,poda_preventiva
1985,OCT,3.62,25.91,14.58,87.68,7.81,poda_preventiva
1986,OCT,8.05,25.11,14.16,91.28,8.79,poda_preventiva
1987,OCT,6.51,25.52,15.72,91.36,6.78,poda_preventiva
1988,OCT,4.97,25.19,14.38,89.57,5.95,fertilizacion
1989,OCT,4.72,25.41,14.77,89.37,8.07,poda_preventiva
1990,OCT,5.97,26.13,15.52,91.22,6.32,poda_preventiva
1991,OCT,5.77,25.53,15.0,89.01,5.31,fertilizacion
1992,OCT,3.16,25.76,14.68,91.09,5.07,fertilizacion
1993,OCT,2.29,25.54,15.6,91.12,6.54,poda_preventiva
1994,OCT,4.1,26.48,15.97,89.2,6.95,poda_preventiva
1995,OCT,4.24,25.74,16.89,93.05,4.1,fertilizacion
1996,OCT,2.79,26.03,16.75,89.24,6.64,poda_preventiva
1997,OCT,8.79,25.7,16.97,93.26,8.21,poda_preventiva
1998,OCT,11.41,25.25,18.14,94.48,3.74,fertilizacion
1999,OCT,7.41,24.49,16.09,93.86,7.51,poda_preventiva
2000,OCT,4.61,25.3,15.19,91.75,3.45,fertilizacion
2001,OCT,7.15,25.54,16.6,92.63,4.42,fertilizacion
2002,OCT,5.62,25.06,15.87,93.42,7.07,poda_preventiva
2003,OCT,5.98,25.94,16.94,92.03,6.17,poda_preventiva
2004,OCT,4.76,26.57,15.78,90.89,3.59,fertilizacion
2005,OCT,11.36,25.58,17.65,94.36,8.82,poda_preventiva
2006,OCT,3.77,26.36,15.73,90.78,8.24,poda_preventiva
2007,OCT,8.76,24.73,15.6,93.23,3.78,fertilizacion
2008,OCT,8.74,25.19,16.9,93.62,4.65,fertilizacion
